Response Identifier,StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent,S1_live_work_1,S1_live_work_2,S1_live_work_3,S1_live_work_4,S1_live_work_5,S2_race_ethnicity_1,S2_race_ethnicity_2,S2_race_ethnicity_3,S2_race_ethnicity_4,S2_race_ethnicity_5,S2_race_ethnicity_6,S2_race_ethnicity_7,S2_race_ethnicity_7_TEXT,S3_18age,Q77,Q1_no_of_jobs,Q2_sector_precovid_1,Q2_sector_precovid_2,Q2_sector_precovid_3,Q2_sector_precovid_4,Q2_sector_precovid_5,Q2_sector_precovid_6,Q2_sector_precovid_7,Q2_sector_precovid_8,Q2_sector_precovid_9,Q2_sector_precovid_10,Q2_sector_precovid_9_TEXT,Q2_sector_precovid_10_TEXT,Q3_discrimination,Q4_laidoff,Q5_laidoff_prejudice,Q6_return_to_work_op,Q7_otherjobs,Q8_get_other_job,Q9_current_sector_1,Q9_current_sector_2,Q9_current_sector_3,Q9_current_sector_4,Q9_current_sector_5,Q9_current_sector_6,Q9_current_sector_7,Q9_current_sector_8,Q9_current_sector_9,Q9_current_sector_10,Q9_current_sector_9_TEXT,Q9_current_sector_10_TEXT,Q10_work_status,Q11_hours_change,Q12_conditions_chang,Q13_employer_offers_1,Q13_employer_offers_2,Q13_employer_offers_3,Q13_employer_offers_4,Q13_employer_offers_5,Q13_employer_offers_6,Q13_employer_offers_7,Q13_employer_offers_8,Q13_employer_offers_9,Q13_employer_offers_10,Q13_employer_offers_11,Q13_employer_offers_12,Q13_employer_offers_13,Q13_employer_offers_14,Q13_employer_offers_14_TEXT,Q14_work_location,Q15_remote_accom,Q16_onsite_safety,Q17_worker_laws_1,Q17_worker_laws_2,Q17_worker_laws_3,Q17_worker_laws_4,Q17_worker_laws_5,Q17_worker_laws_6,Q17_worker_laws_7,Q17_worker_laws_8,Q17_worker_laws_9,Q18_UI_applied,Q19_UI_applied_yes,Q20_UI_applied_no_1,Q20_UI_applied_no_2,Q20_UI_applied_no_3,Q20_UI_applied_no_4,Q21_looking_for_opps_1,Q21_looking_for_opps_2,Q21_looking_for_opps_3,Q21_looking_for_opps_4,Q21_looking_for_opps_5,Q21_looking_for_opps_4_TEXT,Q22_covid_testing,Q22_covid_testing_7_TEXT,Q23_poscovid_cowork,Q23_poscovid_cowork_1_TEXT,Q24_vaccine,Q25_no_vaccine_yet_1,Q25_no_vaccine_yet_2,Q25_no_vaccine_yet_3,Q25_no_vaccine_yet_4,Q25_no_vaccine_yet_5,Q26_respect,Q26_respect_2_TEXT,Q27_homerole_changes_1,Q27_homerole_changes_2,Q27_homerole_changes_3,Q27_homerole_changes_4,Q27_homerole_changes_5,Q27_homerole_changes_6,Q27_homerole_changes_7,Q27_homerole_changes_6_TEXT,Q28_housing_challeng,Q29_food_needs_met,Q30_financial_aid_1,Q30_financial_aid_2,Q30_financial_aid_3,Q30_financial_aid_4,Q30_financial_aid_5,Q30_financial_aid_6,Q30_financial_aid_5_TEXT,Q31_federal_stimulus,Q31_federal_stimulus_4_TEXT,Q32_stress_level_1,Q34_year_born,Q35_zipcode,Q36_gender_1,Q36_gender_2,Q36_gender_3,Q36_gender_4,Q36_gender_5,Q36_gender_6,Q36_gender_5_TEXT,Q37_kids_at_home,Q37_kids_at_home_1_TEXT,Q38_income,Validity,Five_min_flag,Ten_min_flag,Not_in_CA_Flag,Flag_Qualtrics_Bot,Flag_Qualtrics_Duplicate,Flag_Qualtrics_Fraud,Duplicate_IP,InDupGrp
11,5/10/21 18:48,5/10/21 19:24,0,100,2140,1,5/10/21 19:24,EN,0.8, ,0,65,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1,,2, , , , , ,1, , , , , , ,2,4, , , , , , , , , , ,1, , , , , ,1,2,2,1, , ,1, , ,1, ,1, ,1, , , , ,2, ,1,1, ,1, ,1, , , , ,2, , ,1, , , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1, ,1,1, , , , ,2,1,1, ,1, , , , , , ,3,1991,90006,1, , , , , , ,1,1,5,1, , , , , ,1,0,1
12,5/10/21 18:48,5/10/21 19:24,0,100,2179,1,5/10/21 19:25,EN,0.7, , , ,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1,,2, , , , , ,1, , , , , , ,2,4, , , , , ,1, , , , , , , , , , ,1,2,2,1, , ,1, , ,1, ,1, ,1, , , , ,2, ,1,1,1,1, ,1, , , , ,2, ,1,1, , , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1, ,1,1, , , , ,2,1,1, ,1,1, , , , , ,4,1990,92376, ,1, , , , , ,1,1,5,1, , , , , , ,0,1
13,5/10/21 18:48,5/10/21 19:18,0,100,1810,1,5/10/21 19:18,EN,0.7, , , ,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1,,2, , , , , ,1, , , , , , ,2,4, , , , , ,1, , , , , , , , , , ,1,2,2,1, , ,1, , ,1, ,1, ,1, , , , ,2, ,1,1, ,1, ,1, ,1, , ,2, , ,1,1, , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1, ,1,1, , , , ,2,1,1, ,1,1, , , , , ,4,1994,92335, ,1, , , , , ,1,1,5,1, , , , , , ,0,1
14,5/10/21 18:48,5/10/21 19:22,0,100,2036,1,5/10/21 19:22,EN,0.7, , , ,10/14/1582 0:00:00,1, , ,1, , , , ,1, , , , , ,1,,2, , , , , ,1, , , , , , ,2,4, , , , , , , , , , ,1, , , , , ,1,2,2,1, , ,1, , ,1, ,1, ,1, , , , ,2, ,1,1, ,1, ,1, , , , ,2, , ,1, , , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1, ,1,1, , , , ,2,1,1, ,1, , , , , , ,3,1993,92503, ,1, , , , , ,1,1,5,1, , , , , , ,0,1
15,5/10/21 18:48,5/10/21 19:15,0,100,1633,1,5/10/21 19:15,EN,0.7, , , ,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1,,2, , , , , ,1, , , , , , ,2,4, , , , , , , , , , ,1, , , , , ,1,2,2,1, , ,1, , ,1, ,1, ,1, , , , ,2, ,1,1, ,1, ,1, , , , ,2, , ,1, , , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1, ,1,1, , , , ,2,1,1, ,1, , , , , , ,3,1995,90019,1, , , , , , ,1,1,5,1, , , , , , ,0,1
16,5/10/21 18:48,5/10/21 19:22,0,100,2053,1,5/10/21 19:22,EN,0.7, , , ,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1,,2, , , , , ,1, , , , , , ,2,4, , , , , ,1, , , , , , , , , , ,1,2,2,1, , ,1, , ,1, ,1, ,1, , , , ,2, ,1,1, ,1, ,1, , , ,1,2, , ,1,1, , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1, ,1,1, , , , ,2,1,1,1,1, , , , , , ,2,1992,91911, ,1, , , , , ,1,1,5,1, , , , , , ,0,1
17,5/10/21 18:48,5/10/21 19:26,0,100,2276,1,5/10/21 19:26,EN,0.7, , , ,10/14/1582 0:00:00,1, , ,1, , , , ,1, , , , , ,1,,2, , , , , ,1, , , , , , ,2,4, , , , , , , , , , ,1, , , , , ,1,2,2,1, , ,1, , ,1, ,1, ,1, , , , ,2, ,1,1, ,1, ,1, , , , ,2, , ,1, , , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1, ,1,1, , , , ,2,1,1, ,1, , , , , , ,3,1989,92509, ,1, , , , , ,1,1,5,1, , ,1, , , ,1,1
18,5/10/21 18:48,5/10/21 19:27,0,100,2322,1,5/10/21 19:27,EN,0.7, , , ,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1,,2, , , , , ,1, , , , , , ,2,4, , , , , ,1, , , , , , , , , , ,1,2,2,1, , ,1, , ,1, ,1, ,1, , , , ,2, ,1,1,1,1, ,1,1, , , ,2, ,1,1, , , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1, ,1,1, , , , ,2,1,1, ,1,1, , , , , ,4,1986,92345, ,1, , , , , ,1,1,5,1, , ,1, , , ,0,1
19,5/10/21 18:48,5/10/21 19:29,0,100,2446,1,5/10/21 19:29,EN,0.7, , , ,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1,,2, , , , , ,1, , , , , , ,2,4, , , , , , , , , , ,1, , , , , ,1,2,2,1, , ,1, , ,1, ,1, ,1, , , , ,2, ,1,1, ,1, ,1, , , , ,2, , ,1, , , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1, ,1,1, , , , ,2,1,1, ,1, , , , , , ,3,1983,90016,1, , , , , , ,1,1,5,1, , ,1, , , ,0,1
20,5/10/21 18:48,5/10/21 19:28,0,100,2417,1,5/10/21 19:28,EN,0.7, , , ,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1,,2, , , , , ,1, , , , , , ,2,4, , , , , ,1, , , , , , , , , , ,1,2,2,1, , ,1, , ,1, ,1, ,1, , , , ,2, ,1,1, ,1, ,1, ,1,1, ,2, , ,1,1, , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1, ,1,1, , , , ,2,1,1,1,1, , , , , , ,2,1984,92126, ,1, , , , , ,1,1,5,1, , ,1, , , ,0,1
21,5/10/21 18:48,5/10/21 19:29,0,100,2457,1,5/10/21 19:29,EN,0.7, , , ,10/14/1582 0:00:00,1, , ,1, , , , ,1, , , , , ,1,,2, , , , , ,1, , , , , , ,2,4, , , , , ,1, , , , , , , , , , ,1,2,2,1, , ,1, , ,1, ,1, ,1, , , , ,2, ,1,1,1,1,1,1, , , , ,2, ,1,1, , , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1, ,1,1, , , , ,2,1,1, ,1,1, , , , , ,4,1982,91709, ,1, , , , , ,1,2,5,1, , ,1, , , ,0,1
22,5/10/21 18:48,5/10/21 19:28,0,100,2361,1,5/10/21 19:28,EN,0.7, , , ,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1,,2, , , , , ,1, , , , , , ,2,4, , , , , , , , , , ,1, , , , , ,1,2,2,1, , ,1, , ,1, ,1, ,1, , , , ,2, ,1,1, ,1, ,1, , , , ,2, , ,1, , , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1, ,1,1, , , , ,2,1,1, ,1, , , , , , ,3,1985,92553, ,1, , , , , ,1,1,5,1, , ,1, , , ,2,1
23,5/10/21 18:48,5/10/21 19:26,0,100,2289,1,5/10/21 19:26,EN,0.7, , , ,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1,,2, , , , , ,1, , , , , , ,2,4, , , , , ,1, , , , , , , , , , ,1,2,2,1, , ,1, , ,1, ,1, ,1, , , , ,2, ,1,1, ,1, ,1,1, , , ,2, , ,1,1, , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1, ,1,1, , , , ,2,1,1,1,1, , , , , , ,2,1988,91910, ,1, , , , , ,1,1,5,1, , ,1, , , ,0,1
24,5/10/21 18:48,5/10/21 19:29,0,100,2478,1,5/10/21 19:29,EN,0.7, , , ,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1,,2, , , , , ,1, , , , , , ,2,4, , , , , , , , , , ,1, , , , , ,1,2,2,1, , ,1, , ,1, ,1, ,1, , , , ,2, ,1,1, ,1, ,1, , , , ,2, , ,1, , , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1, ,1,1, , , , ,2,1,1, ,1, , , , , , ,3,1981,92592, ,1, , , , , ,1,1,5,1, , ,1, , , ,0,1
25,5/10/21 18:49,5/10/21 19:57,0,100,4089,1,5/10/21 19:57,EN,0.9, ,0,65,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1,,2, ,1, , , , , , , , , , ,2,4, , , , , ,1, , , , , , , , , , ,1,2,2,1, ,1, , ,1,1, ,1,1,1, , , , ,2, ,1,1, ,1, ,1, ,1, , ,2, ,1, ,1, , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1,1, , ,1, , , ,2,1,1, ,1, , , , , , ,3,1983,92056, ,1, , , , , ,1,1,5,1, , , , , ,1,2,1
26,5/10/21 18:49,5/10/21 20:04,0,100,4511,1,5/10/21 20:04,EN,0.9, ,0,65,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1,,2, , , , , , ,1, , , , , ,2,4, , , , , , , , , , ,1, , , , , ,1,2,2,1, ,1, , ,1,1, ,1,1,1, , , , ,2, ,1,1, ,1, ,1, ,1, , ,2, ,1,1,1, , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1,1, ,1,1, , , ,2,1,1,1,1, , , , , , ,3,1986,92057,1, , , , , , ,1,1,5,1, , , , , ,1,0,1
27,5/10/21 18:49,5/10/21 19:58,0,100,4185,1,5/10/21 19:59,EN,0.7, , , ,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1,,2, , , , , , ,1, , , , , ,2,4, , , , , , , , , , ,1, , , , , ,1,2,2,1, ,1, , ,1,1, ,1,1,1, , , , ,2, ,1,1, ,1, ,1, ,1, , ,2, ,1,1,1, , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1,1, ,1,1, , , ,2,1,1, ,1,1, , , , , ,3,1988,92020, ,1, , , , , ,1,1,5,1, , , , , , ,0,1
28,5/10/21 18:49,5/10/21 20:02,0,100,4366,1,5/10/21 20:02,EN,0.7, , , ,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1,,2, ,1, , , , , , , , , , ,2,4, , , , , ,1, , , , , , , , , , ,1,2,2,1, ,1, , ,1,1, ,1,1,1, , , , ,2, ,1,1, ,1, ,1, ,1, , ,2, ,1, ,1, , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1,1, , ,1, , , ,2,1,1, ,1, , , , , , ,3,1985,92027, ,1, , , , , ,1,1,5,1, , , , , , ,0,1
29,5/10/21 18:49,5/10/21 19:59,0,100,4197,1,5/10/21 19:59,EN,0.7, , , ,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1,,2, , , , , , ,1, , , , , ,2,4, , , , , , , , , , ,1, , , , , ,1,2,2,1, ,1, , ,1,1, ,1,1,1, , , , ,2, ,1,1, ,1, ,1, ,1, , ,2, ,1,1,1, , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1,1, ,1,1, , , ,2,1,1,1,1, , , , , , ,3,1982,92129,1, , , , , , ,1,1,5,1, , , , , , ,0,1
30,5/10/21 18:49,5/10/21 19:58,0,100,4165,1,5/10/21 19:58,EN,0.7, , , ,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1,,2, , , , , , ,1, , , , , ,2,4, , , , , , , , , , ,1, , , , , ,1,2,2,1, ,1, , ,1,1, ,1,1,1, , , , ,2, ,1,1, ,1, ,1, ,1, , ,2, ,1,1,1, , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1,1, ,1,1, , , ,2,1,1,1,1, , , , , , ,3,1994,92105,1, , , , , , ,1,1,5,1, , , , , , ,2,1
31,5/10/21 18:49,5/10/21 20:02,0,100,4387,1,5/10/21 20:02,EN,0.7, , , ,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1,,2, ,1, , , , , , , , , , ,2,4, , , , , ,1, , , , , , , , , , ,1,2,2,1, ,1, , ,1,1, ,1,1,1, , , , ,2, ,1,1, ,1, ,1, ,1, , ,2, ,1, ,1, , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1,1, , ,1, , , ,2,1,1, ,1, , , , , , ,3,1989,91977, ,1, , , , , ,1,1,5,1, , , , , , ,2,1
32,5/10/21 18:49,5/10/21 20:03,0,100,4470,1,5/10/21 20:03,EN,0.7, , , ,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1,,2, , , , , , ,1, , , , , ,2,4, , , , , , , , , , ,1, , , , , ,1,2,2,1, ,1, , ,1,1, ,1,1,1, , , , ,2, ,1,1, ,1, ,1, ,1, , ,2, ,1,1,1, , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1,1, ,1,1, , , ,2,1,1, ,1,1, , , , , ,3,1984,92071, ,1, , , , , ,1,1,5,1, , , , , , ,1,1
33,5/10/21 18:49,5/10/21 19:55,0,100,3970,1,5/10/21 19:55,EN,0.7, , , ,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1,,2, ,1, , , , , , , , , , ,2,4, , , , , ,1, , , , , , , , , , ,1,2,2,1, ,1, , ,1,1, ,1,1,1, , , , ,2, ,1,1, ,1, ,1, ,1, , ,2, ,1, ,1, , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1,1, , ,1, , , ,2,1,1, ,1, , , , , , ,3,1993,92114, ,1, , , , , ,1,1,5,1, , ,1, , , ,2,1
34,5/10/21 18:49,5/10/21 19:55,0,100,3996,1,5/10/21 19:55,EN,0.7, , , ,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1,,2, , , , , , ,1, , , , , ,2,4, , , , , , , , , , ,1, , , , , ,1,2,2,1, ,1, , ,1,1, ,1,1,1, , , , ,2, ,1,1, ,1, ,1, ,1, , ,2, ,1,1,1, , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1,1, ,1,1, , , ,2,1,1,1,1, , , , , , ,3,1990,92115,1, , , , , , ,1,1,5,1, , , , , , ,0,1
35,5/10/21 18:50,5/10/21 20:30,0,100,6024,1,5/10/21 20:30,EN,0.7, , , ,10/14/1582 0:00:00,1, , ,1, , , , ,1, , , , , ,1,,2, , , , , , ,1, , , , , ,2,4, , , , , , , , , , ,1, , , , , ,1,2,2,1, ,1,1, ,1, ,1,1,1,1, , , , ,2, ,1,1, ,1, ,1, ,1,1, ,2, ,1, ,1, , ,1,1, , , ,4, ,2, ,1, , , , , ,1, ,1,1, ,1,1, , , ,2,3,1, ,1,1, , , , , ,2,1988,92507,1, , , , , , ,1,1,5,1, , , , , , ,3,1
36,5/10/21 18:50,5/10/21 20:32,0,100,6117,1,5/10/21 20:32,EN,0.7, , , ,10/14/1582 0:00:00,1, , ,1, , , , ,1, , , , , ,1,,2, , , , , , ,1, , , , , ,2,4, , , , , , , , , , ,1, , , , , ,1,2,2,1, ,1, , ,1, , , ,1,1, , , , ,2, ,1,1, ,1, ,1, ,1, , ,2, ,1,1, , , , ,1, , , ,2, ,2, ,1, , , , , ,1, ,1,1, , ,1, , , ,2,1,1, ,1, , , , , , ,3,1993,92592, ,1, , , , , ,1,1,5,1, , , , , , ,2,1
